File_name,phrase
D:\infosys project\Dataset\Dataset\Recordings\Train\1.mp3,learning new languauges is fun
D:\infosys project\Dataset\Dataset\Recordings\Train\2.mp3,she loves to swim in the ocean
D:\infosys project\Dataset\Dataset\Recordings\Train\3.mp3,quickly run across the street
D:\infosys project\Dataset\Dataset\Recordings\Train\4.mp3,sky is blue today
D:\infosys project\Dataset\Dataset\Recordings\Train\5.mp3,star twinkle brighlty in the night sky
D:\infosys project\Dataset\Dataset\Recordings\Train\6.mp3,childern laugh and play in the park
D:\infosys project\Dataset\Dataset\Recordings\Train\7.mp3,the mountain stand tall and majestic
D:\infosys project\Dataset\Dataset\Recordings\Train\8.mp3,the leaf change color in the autumn
D:\infosys project\Dataset\Dataset\Recordings\Train\9.mp3,technology is advancing everyday
D:\infosys project\Dataset\Dataset\Recordings\Train\10.mp3,sunflowers turns their head towards the sun
D:\infosys project\Dataset\Dataset\Recordings\Train\11.mp3,the child gigles while playing with her toy
D:\infosys project\Dataset\Dataset\Recordings\Train\12.mp3,friends gather around the dinner table
D:\infosys project\Dataset\Dataset\Recordings\Train\13.mp3,music makes everything feel better
D:\infosys project\Dataset\Dataset\Recordings\Train\14.mp3,the sound of waves calms my mind
D:\infosys project\Dataset\Dataset\Recordings\Train\15.mp3,reading books exapnd your knowledge
D:\infosys project\Dataset\Dataset\Recordings\Train\16.mp3,the city lights shimmer in the evening
D:\infosys project\Dataset\Dataset\Recordings\Train\17.mp3,he enjoy playing the guitar
D:\infosys project\Dataset\Dataset\Recordings\Train\18.mp3,exercise keep your body healthy
D:\infosys project\Dataset\Dataset\Recordings\Train\19.mp3,exercise keep your body healthy
D:\infosys project\Dataset\Dataset\Recordings\Train\20.mp3,the baby is smiled at everyone in the room
D:\infosys project\Dataset\Dataset\Recordings\Train\21.wav,no pressure no diamonds
D:\infosys project\Dataset\Dataset\Recordings\Train\22.wav,do small things with great love
D:\infosys project\Dataset\Dataset\Recordings\Train\23.wav,small steps yield big results
D:\infosys project\Dataset\Dataset\Recordings\Train\24.wav,whatever you are be a good one 
D:\infosys project\Dataset\Dataset\Recordings\Train\25.wav,every emotion has a story to tell
D:\infosys project\Dataset\Dataset\Recordings\Train\26.wav,a little empathy goes a long way
D:\infosys project\Dataset\Dataset\Recordings\Train\27.wav,smile because life is too short to be unhappy
D:\infosys project\Dataset\Dataset\Recordings\Train\28.wav,stop existing and start living
D:\infosys project\Dataset\Dataset\Recordings\Train\29.wav,stay close to anything that makes you glad you are alive
D:\infosys project\Dataset\Dataset\Recordings\Train\30.wav,time moves slowly but passes quickly
D:\infosys project\Dataset\Dataset\Recordings\Train\31.wav,difficult roads often lead to beautiful destinations
D:\infosys project\Dataset\Dataset\Recordings\Train\32.wav,aspire to inspire before we expire
D:\infosys project\Dataset\Dataset\Recordings\Train\33.wav,simplicity is the ultimate sophistication
D:\infosys project\Dataset\Dataset\Recordings\Train\34.wav,remember why you started
D:\infosys project\Dataset\Dataset\Recordings\Train\35.wav,don't let anyone dull your sparkle 
D:\infosys project\Dataset\Dataset\Recordings\Train\36.wav,for some walks you have to take alone 
D:\infosys project\Dataset\Dataset\Recordings\Train\37.wav,luck is the residue of design
D:\infosys project\Dataset\Dataset\Recordings\Train\38.wav,the best is yet to come
D:\infosys project\Dataset\Dataset\Recordings\Train\39.wav,it always seems impossible until it's done
D:\infosys project\Dataset\Dataset\Recordings\Train\40.wav,"autumn, the season that teaches us change can be beautiful "
D:\infosys project\Dataset\Dataset\Recordings\Train\42.mp3,What time are we meeting tomorrow?
D:\infosys project\Dataset\Dataset\Recordings\Train\43.mp3,I need to charge my phone.
D:\infosys project\Dataset\Dataset\Recordings\Train\44.mp3,Could you help me with this?
D:\infosys project\Dataset\Dataset\Recordings\Train\45.mp3,Iâ€™ll call you back in five minutes.
D:\infosys project\Dataset\Dataset\Recordings\Train\46.mp3,Where is the nearest grocery store?
D:\infosys project\Dataset\Dataset\Recordings\Train\47.mp3,Do you want to grab lunch together?
D:\infosys project\Dataset\Dataset\Recordings\Train\48.mp3,An apple a day keeps the doctor away.
D:\infosys project\Dataset\Dataset\Recordings\Train\49.mp3,Better late than never.
D:\infosys project\Dataset\Dataset\Recordings\Train\50.mp3,Actions speak louder than words.
D:\infosys project\Dataset\Dataset\Recordings\Train\51.mp3,Every cloud has a silver lining.
D:\infosys project\Dataset\Dataset\Recordings\Train\52.mp3,How was your day at work?
D:\infosys project\Dataset\Dataset\Recordings\Train\53.mp3,I'll be out of town next weekend.
D:\infosys project\Dataset\Dataset\Recordings\Train\54.mp3,Do you have any plans for tonight?
D:\infosys project\Dataset\Dataset\Recordings\Train\55.mp3,Iâ€™ll get back to you as soon as I can.
D:\infosys project\Dataset\Dataset\Recordings\Train\56.mp3,"She sells seashells by the seashore, and the shells she sells are surely seashells."
D:\infosys project\Dataset\Dataset\Recordings\Train\57.mp3,The juxtaposition of light and dark shadows created an eerie ambiance in the twilight hours.
D:\infosys project\Dataset\Dataset\Recordings\Train\58.mp3,Six slippery snails slid slowly seaward while the sun silently sank.
D:\infosys project\Dataset\Dataset\Recordings\Train\59.mp3,"The intricate machinery whirred and clanked, producing a cacophony of clashing metal."
D:\infosys project\Dataset\Dataset\Recordings\Train\60.mp3,"In the labyrinth of logic, many find themselves ensnared by paradoxes and contradictions."
D:\infosys project\Dataset\Dataset\Recordings\Train\61.mp3,"Phenomenologically, the mind's perception of time can warp under extreme conditions of stress."
D:\infosys project\Dataset\Dataset\Recordings\Train\62.mp3,The committee's convoluted decision-making process left everyone bewildered and frustrated.
D:\infosys project\Dataset\Dataset\Recordings\Train\63.mp3,Rarely is the weather so simultaneously serene yet foreboding in its stillness.
D:\infosys project\Dataset\Dataset\Recordings\Train\64.mp3,"Surreptitiously, she sidestepped the serpentine shadows that snaked through the alley."
D:\infosys project\Dataset\Dataset\Recordings\Train\65.mp3,The quicksand of bureaucracy often entangles those who venture into its depths unprepared.
D:\infosys project\Dataset\Dataset\Recordings\Train\66.mp3,"Despite the cacophonous environment, she remained resolute in her determination."
D:\infosys project\Dataset\Dataset\Recordings\Train\67.mp3,The labyrinthine complexity of the situation left everyone baffled.
D:\infosys project\Dataset\Dataset\Recordings\Train\68.mp3,The flurry of activity in the market was both exhilarating and overwhelming.
D:\infosys project\Dataset\Dataset\Recordings\Train\69.mp3,The conspicuous absence of evidence left the jury in a state of confusion.
D:\infosys project\Dataset\Dataset\Recordings\Train\70.wav,A sunny day at the beach.
D:\infosys project\Dataset\Dataset\Recordings\Train\71.wav,A playful puppy in a park.
D:\infosys project\Dataset\Dataset\Recordings\Train\72.wav,A field of sunflowers.
D:\infosys project\Dataset\Dataset\Recordings\Train\73.wav,A colorful butterfly on a flower.
D:\infosys project\Dataset\Dataset\Recordings\Train\74.wav,A cheerful birthday party.
D:\infosys project\Dataset\Dataset\Recordings\Train\75.wav,A clear night sky full of stars.
D:\infosys project\Dataset\Dataset\Recordings\Train\76.wav,A cute cat playing with paper.
D:\infosys project\Dataset\Dataset\Recordings\Train\77.wav,A calm river flowing through the forest.
D:\infosys project\Dataset\Dataset\Recordings\Train\78.wav,A friendly snowman in winter.
D:\infosys project\Dataset\Dataset\Recordings\Train\79.wav,A busy farmers' market.
D:\infosys project\Dataset\Dataset\Recordings\Train\80.wav,A quiet library with people.
D:\infosys project\Dataset\Dataset\Recordings\Train\81.wav,A beautiful rainbow after the rain.
D:\infosys project\Dataset\Dataset\Recordings\Train\82.wav,A charming village street.
D:\infosys project\Dataset\Dataset\Recordings\Train\83.wav,A garden full of blooming flowers.
D:\infosys project\Dataset\Dataset\Recordings\Train\84.wav,A family picnic in the park.
D:\infosys project\Dataset\Dataset\Recordings\Train\85.wav,A colorful hot air balloon in the sky.
D:\infosys project\Dataset\Dataset\Recordings\Train\86.wav,A happy couple on a walk.
D:\infosys project\Dataset\Dataset\Recordings\Train\87.wav,A cozy fireplace on a cold night.
D:\infosys project\Dataset\Dataset\Recordings\Train\88.wav,A happy child flying a kite.
D:\infosys project\Dataset\Dataset\Recordings\Train\89.wav,A beautiful hiking scenerio.
D:\infosys project\Dataset\Dataset\Recordings\Train\90.mp3,A cat wearing sunglasses and riding a skateboard.
D:\infosys project\Dataset\Dataset\Recordings\Train\91.mp3,A giraffe in a top hat drinking tea.
D:\infosys project\Dataset\Dataset\Recordings\Train\92.mp3,A robot juggling colorful balloons.
D:\infosys project\Dataset\Dataset\Recordings\Train\93.mp3,A dinosaur having a picnic with a family.
D:\infosys project\Dataset\Dataset\Recordings\Train\94.mp3,A bear dressed as a chef cooking pancakes.
D:\infosys project\Dataset\Dataset\Recordings\Train\95.mp3,A beautiful garden with colorful flowers and butterflies
D:\infosys project\Dataset\Dataset\Recordings\Train\96.mp3,A blue whale wearing glasses reading a book underwater.
D:\infosys project\Dataset\Dataset\Recordings\Train\97.mp3,A robot playing chess with a human.
D:\infosys project\Dataset\Dataset\Recordings\Train\98.mp3,A cow jumping over a rainbow.
D:\infosys project\Dataset\Dataset\Recordings\Train\99.mp3,A crocodile playing the piano at a jazz club.
D:\infosys project\Dataset\Dataset\Recordings\Train\100.mp3,A dragon flying above a medieval castle.
D:\infosys project\Dataset\Dataset\Recordings\Train\101.mp3,A duck wearing a raincoat and boots in a puddle.
D:\infosys project\Dataset\Dataset\Recordings\Train\102.mp3,A fox flying a kite in a windy meadow.
D:\infosys project\Dataset\Dataset\Recordings\Train\103.mp3,A giant tree in the middle of a desert.
D:\infosys project\Dataset\Dataset\Recordings\Train\104.mp3,A superhero flying above a bustling city.
D:\infosys project\Dataset\Dataset\Recordings\Train\105.mp3,A beautiful underwater coral reef scene.
D:\infosys project\Dataset\Dataset\Recordings\Train\106.mp3,A peaceful village in the mountains.
D:\infosys project\Dataset\Dataset\Recordings\Train\107.mp3,A kangaroo boxing in the ring.
D:\infosys project\Dataset\Dataset\Recordings\Train\108.mp3,A lion wearing a crown and cape sitting on a throne.
D:\infosys project\Dataset\Dataset\Recordings\Train\109.mp3,A monkey astronaut floating in space
